Entrez_ID	DiseaseName	Disease_MeSHorOMIM_ID
19	Hyperlipoproteinemia Type II	MESH:D006938
19	Hypoalphalipoproteinemias	MESH:D052456
19	Kidney Failure, Chronic	MESH:D007676
19	Peripheral Nervous System Diseases	MESH:D010523
19	Tangier Disease	MESH:D013631
10349	Colorectal Neoplasms	MESH:D015179
26154	Colorectal Neoplasms	MESH:D015179
26154	Harlequin type ichthyosis	MESH:C538424
26154	Ichthyosis, Lamellar	MESH:D017490
26154	Lamellar ichthyosis, type 2	MESH:C537264
154664	Colorectal Neoplasms	MESH:D015179
154664	Disease Progression	MESH:D018450
21	Colorectal Neoplasms	MESH:D015179
21	Surfactant Metabolism Dysfunction, Pulmonary, 3	MESH:C567046
24	Cleft Lip	MESH:D002971
24	Colorectal Neoplasms	MESH:D015179
24	Cone-Rod Dystrophy 3	MESH:C565827
24	Macular Degeneration	MESH:D008268
24	Macular Degeneration, Age-Related, 2	MESH:C562479
24	Retinitis Pigmentosa	MESH:D012174
24	Retinitis Pigmentosa 19	MESH:C566637
24	Stargardt disease 1	MESH:C535804
23461	Colorectal Neoplasms	MESH:D015179
23460	Colorectal Neoplasms	MESH:D015179
23460	Dermatitis, Allergic Contact	MESH:D017449
10347	Alzheimer Disease	MESH:D000544
10347	Alzheimer Disease 9	MESH:C563834
10347	Disease Progression	MESH:D018450
10351	Colorectal Neoplasms	MESH:D015179
217258	Liver Cirrhosis, Experimental	MESH:D008106
10350	Colorectal Neoplasms	MESH:D015179
5243	Adrenocortical Carcinoma	MESH:D018268
5243	Arthritis, Experimental	MESH:D001169
5243	Arthritis, Rheumatoid	MESH:D001172
5243	Breast Neoplasms	MESH:D001943
5243	Carcinoma	MESH:D002277
5243	Carcinoma, Hepatocellular	MESH:D006528
5243	Carcinoma, Non-Small-Cell Lung	MESH:D002289
5243	Carcinoma, squamous cell of head and neck	MESH:C535575
5243	Colorectal Neoplasms	MESH:D015179
5243	Disease Progression	MESH:D018450
5243	Drug-Induced Liver Injury	MESH:D056486
5243	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
5243	Epilepsy	MESH:D004827
5243	Escherichia coli Infections	MESH:D004927
5243	Esophageal Neoplasms	MESH:D004938
5243	Genetic Predisposition to Disease	MESH:D020022
5243	Heart Defects, Congenital	MESH:D006330
5243	Hematologic Neoplasms	MESH:D019337
5243	Hypotension, Orthostatic	MESH:D007024
5243	Inflammatory Bowel Disease 13	MESH:C567384
5243	Kidney Neoplasms	MESH:D007680
5243	Liver Cirrhosis, Experimental	MESH:D008106
5243	Lymphoma, Large B-Cell, Diffuse	MESH:D016403
5243	Marijuana Abuse	MESH:D002189
5243	Mental Disorders	MESH:D001523
5243	Nausea	MESH:D009325
5243	Neoplasm Metastasis	MESH:D009362
5243	Neoplasms	MESH:D009369
5243	Nervous System Diseases	MESH:D009422
5243	Neuroblastoma	MESH:D009447
5243	Neurotoxicity Syndromes	MESH:D020258
5243	Neutropenia	MESH:D009503
5243	Pain, Postoperative	MESH:D010149
5243	Parkinson Disease	MESH:D010300
5243	Parkinson Disease, Secondary	MESH:D010302
5243	Peripheral Nervous System Diseases	MESH:D010523
5243	Poisoning	MESH:D011041
5243	Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198
5243	Translocation, Genetic	MESH:D014178
5243	Vomiting	MESH:D014839
23456	Colorectal Neoplasms	MESH:D015179
8647	Afibrinogenemia	MESH:D000347
8647	Cholestasis	MESH:D002779
8647	CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2	OMIM:605479
8647	Cholestasis, Intrahepatic	MESH:D002780
8647	Cholestasis, progressive familial intrahepatic 1	MESH:C535933
8647	Cholestasis, progressive familial intrahepatic 2	MESH:C535934
8647	Colorectal Neoplasms	MESH:D015179
8647	Pruritus	MESH:D011537
18671	Drug-Induced Liver Injury	MESH:D056486
18671	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
18671	Heart Diseases	MESH:D006331
18671	Hyperlipidemias	MESH:D006949
18671	Kidney Diseases	MESH:D007674
18671	Liver Cirrhosis, Experimental	MESH:D008106
18671	Reperfusion Injury	MESH:D015427
18671	Seizures	MESH:D012640
18671	Status Epilepticus	MESH:D013226
18669	Breast Neoplasms	MESH:D001943
18669	Drug-Induced Liver Injury	MESH:D056486
18669	Endotoxemia	MESH:D019446
18669	Liver Neoplasms	MESH:D008113
18669	Mammary Neoplasms, Experimental	MESH:D008325
18669	Status Epilepticus	MESH:D013226
5244	Carcinoma, Hepatocellular	MESH:D006528
5244	Cholangitis	MESH:D002761
5244	Cholangitis, Sclerosing	MESH:D015209
5244	Cholestasis, progressive familial intrahepatic 1	MESH:C535933
5244	Cholestasis, progressive familial intrahepatic 3	MESH:C535935
5244	Colorectal Neoplasms	MESH:D015179
5244	Disease Models, Animal	MESH:D004195
5244	Disease Progression	MESH:D018450
5244	End Stage Liver Disease	MESH:D058625
5244	GALLBLADDER DISEASE 1	OMIM:600803
5244	Inflammation	MESH:D007249
5244	Jaundice, Obstructive	MESH:D041781
5244	Liver Cirrhosis	MESH:D008103
5244	Liver Cirrhosis, Biliary	MESH:D008105
5244	Non-alcoholic Fatty Liver Disease	MESH:D065626
340273	Colorectal Neoplasms	MESH:D015179
340273	Melanoma	MESH:D008545
10058	Colorectal Neoplasms	MESH:D015179
10058	Polycystic Ovary Syndrome	MESH:D011085
10058	Pseudohyperkalemia, Familial, 2, due to Red Cell Leak	MESH:C563785
22	Anemia, Sideroblastic	MESH:D000756
22	Anemia, sideroblastic spinocerebellar ataxia	MESH:C536358
22	Ataxia	MESH:D001259
4363	Breast Neoplasms	MESH:D001943
4363	Carcinoma, squamous cell of head and neck	MESH:C535575
4363	Colorectal Neoplasms	MESH:D015179
4363	Disease Progression	MESH:D018450
4363	Drug-Induced Liver Injury	MESH:D056486
4363	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
4363	Heart Diseases	MESH:D006331
4363	Hypertension	MESH:D006973
4363	Peripheral Nervous System Diseases	MESH:D010523
85320	Disease Progression	MESH:D018450
94160	Bone Marrow Diseases	MESH:D001855
94160	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
150000	Colorectal Neoplasms	MESH:D015179
1244	Alopecia	MESH:D000505
1244	Arthritis, Rheumatoid	MESH:D001172
1244	Carcinoma, squamous cell of head and neck	MESH:C535575
1244	Cholestasis	MESH:D002779
1244	Colorectal Neoplasms	MESH:D015179
1244	Drug Hypersensitivity	MESH:D004342
1244	Drug-Induced Liver Injury	MESH:D056486
1244	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
1244	Esophageal Squamous Cell Carcinoma	MESH:C562729
1244	Gastrointestinal Diseases	MESH:D005767
1244	Heart Diseases	MESH:D006331
1244	Hyperbilirubinemia	MESH:D006932
1244	Jaundice, Chronic Idiopathic	MESH:D007566
1244	Liver Cirrhosis, Biliary	MESH:D008105
1244	Liver Cirrhosis, Experimental	MESH:D008106
1244	Nervous System Diseases	MESH:D009422
1244	Seizures	MESH:D012640
1244	Status Epilepticus	MESH:D013226
8714	Arthritis, Rheumatoid	MESH:D001172
8714	Cholestasis	MESH:D002779
8714	Colorectal Neoplasms	MESH:D015179
8714	Hepatomegaly	MESH:D006529
10257	Arthritis, Rheumatoid	MESH:D001172
10257	Colorectal Neoplasms	MESH:D015179
10257	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
10257	Endometriosis	MESH:D004715
10257	Neoplasm Metastasis	MESH:D009362
10257	Prostatic Neoplasms	MESH:D011471
10257	Substance-Related Disorders	MESH:D019966
10057	Arthritis, Rheumatoid	MESH:D001172
10057	Colorectal Neoplasms	MESH:D015179
10057	Liver Cirrhosis, Experimental	MESH:D008106
368	Arterial calcification of infancy	MESH:C537440
368	Colorectal Neoplasms	MESH:D015179
368	Disease Models, Animal	MESH:D004195
368	Disease Progression	MESH:D018450
368	Pseudoxanthoma Elasticum	MESH:D011561
566555	Arterial calcification of infancy	MESH:C537440
566555	Disease Models, Animal	MESH:D004195
566555	Pseudoxanthoma Elasticum	MESH:D011561
6833	Colorectal Neoplasms	MESH:D015179
6833	Congenital Hyperinsulinism	MESH:D044903
6833	Diabetes Mellitus, Permanent Neonatal	MESH:C563425
6833	Diabetes Mellitus, Transient Neonatal, 2	MESH:C563672
6833	Diabetes Mellitus, Type 1	MESH:D003922
6833	Diabetes Mellitus, Type 2	MESH:D003924
6833	Hypoglycemia, leucine-induced	MESH:C537150
10060	Cantu syndrome	MESH:C535572
10060	Cardiomyopathy, Dilated, 1o	MESH:C563906
10060	Endometrial Neoplasms	MESH:D016889
10060	Endometriosis	MESH:D004715
215	Adrenoleukodystrophy	MESH:D000326
225	Colorectal Neoplasms	MESH:D015179
5825	Colorectal Neoplasms	MESH:D015179
5825	Zellweger Syndrome	MESH:D015211
5826	Colorectal Neoplasms	MESH:D015179
5826	Disease Progression	MESH:D018450
5826	Metabolism, Inborn Errors	MESH:D008661
5826	Vitamin B 12 Deficiency	MESH:D014806
6059	Colorectal Neoplasms	MESH:D015179
23	Disease Progression	MESH:D018450
23	Hypersensitivity	MESH:D006967
23	Pneumonia	MESH:D011014
10061	Disease Progression	MESH:D018450
9619	Colorectal Neoplasms	MESH:D015179
9619	Kidney Failure, Chronic	MESH:D007676
9619	Liver Cirrhosis, Experimental	MESH:D008106
9619	Weight Gain	MESH:D015430
9429	Adenoma	MESH:D000236
9429	Arthritis, Rheumatoid	MESH:D001172
9429	Breast Neoplasms	MESH:D001943
9429	Carcinoma, squamous cell of head and neck	MESH:C535575
9429	Colorectal Neoplasms	MESH:D015179
9429	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
9429	Liver Cirrhosis, Biliary	MESH:D008105
9429	Lymphoma, Large B-Cell, Diffuse	MESH:D016403
9429	Mammary Neoplasms, Experimental	MESH:D008325
9429	Nervous System Diseases	MESH:D009422
9429	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054218
9429	URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1	OMIM:138900
64240	Atherosclerosis	MESH:D050197
64240	Coronary Artery Disease	MESH:D003324
64240	Coronary Disease	MESH:D003327
64240	Dyslipidemias	MESH:D050171
64240	Lipid Metabolism, Inborn Errors	MESH:D008052
64240	Liver Cirrhosis, Experimental	MESH:D008106
64240	Prostatic Neoplasms	MESH:D011471
64240	Sitosterolemia	MESH:C537345
64240	Xanthomatosis	MESH:D014973
64241	Coronary Artery Disease	MESH:D003324
64241	Gallbladder Disease 4	MESH:C566936
64241	Gallstones	MESH:D042882
64241	Liver Cirrhosis, Experimental	MESH:D008106
64241	Sitosterolemia	MESH:C537345
26090	Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract	MESH:C567203
51099	Chanarin-Dorfman Syndrome	MESH:C536560
25890	Endometriosis	MESH:D004715
25	Adenocarcinoma	MESH:D000230
25	Bone Diseases, Developmental	MESH:D001848
25	Breast Neoplasms	MESH:D001943
25	Carcinogenesis	MESH:D063646
25	Esophageal Neoplasms	MESH:D004938
25	Failure to Thrive	MESH:D005183
25	Heart Defects, Congenital	MESH:D006330
25	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	MESH:D015464
25	Liver Neoplasms	MESH:D008113
25	Musculoskeletal Abnormalities	MESH:D009139
25	Neoplasms, Experimental	MESH:D009374
25	Precancerous Conditions	MESH:D011230
25	Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198
3983	Substance-Related Disorders	MESH:D019966
22885	Liver Cirrhosis, Experimental	MESH:D008106
28	Coronary Artery Disease	MESH:D003324
28	Duodenal Ulcer	MESH:D004381
28	Ovarian epithelial cancer	MESH:C538090
28	Pancreatic Neoplasms	MESH:D010190
28	Prostatic Neoplasms	MESH:D011471
29	Prostatic Neoplasms	MESH:D011471
137735	Cardiomyopathy, Dilated	MESH:D002311
29777	Disease Progression	MESH:D018450
29777	Stomach Neoplasms	MESH:D013274
235674	Heart Failure	MESH:D006333
10449	Osteoarthritis	MESH:D010003
10449	Respiratory Distress Syndrome, Adult	MESH:D012128
31	Carcinoma, Hepatocellular	MESH:D006528
31	Heart Failure	MESH:D006333
32	Insulin Resistance	MESH:D007333
32	Obesity	MESH:D009765
27034	Disease Progression	MESH:D018450
27034	Isobutyryl-CoA dehydrogenase deficiency	MESH:C535541
27034	Stomach Neoplasms	MESH:D013274
28976	Acyl-CoA Dehydrogenase Family, Member 9, Deficiency of	MESH:C567006
34	Enterocolitis, Necrotizing	MESH:D020345
34	Liver Failure	MESH:D017093
34	Medium chain acyl CoA dehydrogenase deficiency	MESH:C536038
34	Obesity	MESH:D009765
34	Weight Gain	MESH:D015430
35	Short chain Acyl CoA dehydrogenase deficiency	MESH:C537596
36	2-Methylbutyryl-CoA Dehydrogenase Deficiency	MESH:C566487
36	Autistic Disorder	MESH:D001321
37	Anoxia	MESH:D000860
37	VLCAD deficiency	MESH:C536353
176	Arthritis, Rheumatoid	MESH:D001172
176	Muscular Dystrophy, Facioscapulohumeral	MESH:D020391
176	OSTEOCHONDRITIS DISSECANS, SHORT STATURE, AND EARLY-ONSET OSTEOARTHRITIS	OMIM:165800
176	Pneumoconiosis	MESH:D011009
176	Spondyloepimetaphyseal Dysplasia, Aggrecan Type	MESH:C567558
176	Spondyloepiphyseal Dysplasia, Kimberley Type	MESH:C564252
38	Beta ketothiolase deficiency	MESH:C535434
38	Kidney Failure, Chronic	MESH:D007676
38	Liver Cirrhosis, Experimental	MESH:D008106
38	Seizures	MESH:D012640
79777	Liver Cirrhosis, Experimental	MESH:D008106
84320	Intellectual Disability	MESH:D008607
1636	Adenocarcinoma	MESH:D000230
1636	Albuminuria	MESH:D000419
1636	Allanson Pantzar McLeod syndrome	MESH:C537048
1636	Alzheimer Disease	MESH:D000544
1636	Arrhythmias, Cardiac	MESH:D001145
1636	Atrial Fibrillation	MESH:D001281
1636	Autistic Disorder	MESH:D001321
1636	Berylliosis	MESH:D001607
1636	Brain Ischemia	MESH:D002545
1636	Carcinoma, Hepatocellular	MESH:D006528
1636	Cardiovascular Diseases	MESH:D002318
1636	Cerebral Hemorrhage	MESH:D002543
1636	Coronary Artery Disease	MESH:D003324
1636	Coronary Disease	MESH:D003327
1636	Coronary Restenosis	MESH:D023903
1636	Cough	MESH:D003371
1636	Death, Sudden	MESH:D003645
1636	Diabetes Mellitus, Experimental	MESH:D003921
1636	Diabetic Nephropathies	MESH:D003928
1636	Drug Hypersensitivity	MESH:D004342
1636	Gaucher Disease	MESH:D005776
1636	Genetic Predisposition to Disease	MESH:D020022
1636	Glomerulonephritis, IGA	MESH:D005922
1636	Glycogen Storage Disease Type V	MESH:D006012
1636	Heart Failure	MESH:D006333
1636	Hypertension	MESH:D006973
1636	Hypertension, Pulmonary	MESH:D006976
1636	Hypertrophy, Left Ventricular	MESH:D017379
1636	Hypotension	MESH:D007022
1636	Infant, Premature, Diseases	MESH:D007235
1636	Infertility, Male	MESH:D007248
1636	Kidney Diseases	MESH:D007674
1636	Kidney Failure, Chronic	MESH:D007676
1636	Lung Diseases	MESH:D008171
1636	Lung Neoplasms	MESH:D008175
1636	Meningococcal Infections	MESH:D008589
1636	MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3	OMIM:612624
1636	Myocardial Infarction	MESH:D009203
1636	Neoplasm Metastasis	MESH:D009362
1636	Non-alcoholic Fatty Liver Disease	MESH:D065626
1636	Pneumonia, Viral	MESH:D011024
1636	Pre-Eclampsia	MESH:D011225
1636	Prostatic Neoplasms	MESH:D011471
1636	Psychoses, Substance-Induced	MESH:D011605
1636	Renal Insufficiency	MESH:D051437
1636	RENAL TUBULAR DYSGENESIS	OMIM:267430
1636	Respiratory Tract Diseases	MESH:D012140
1636	Severe Acute Respiratory Syndrome	MESH:D045169
1636	Staphylococcal Infections	MESH:D013203
1636	Stomach Neoplasms	MESH:D013274
1636	Stroke	MESH:D020521
1636	Vascular System Injuries	MESH:D057772
1636	Weight Gain	MESH:D015430
59272	Abortion, Spontaneous	MESH:D000022
59272	Aortic Aneurysm, Abdominal	MESH:D017544
59272	Diabetic Nephropathies	MESH:D003928
59272	Endomyocardial Fibrosis	MESH:D004719
59272	Hypertension	MESH:D006973
55331	Melanoma	MESH:D008545
43	Alzheimer Disease	MESH:D000544
43	Amphetamine-Related Disorders	MESH:D019969
43	Amyloidosis	MESH:D000686
43	Breast Neoplasms	MESH:D001943
43	Carcinoma, Renal Cell	MESH:D002292
43	Drug-Related Side Effects and Adverse Reactions	MESH:D064420
43	Growth Disorders	MESH:D006130
43	Learning Disorders	MESH:D007859
43	Liver Cirrhosis, Experimental	MESH:D008106
43	Memory Disorders	MESH:D008569
43	Movement Disorders	MESH:D009069
43	Muscular Dystrophies	MESH:D009136
43	Nervous System Diseases	MESH:D009422
43	Organophosphate Poisoning	MESH:D062025
43	Poisoning	MESH:D011041
43	Prenatal Injuries	MESH:D049188
43	Prostatic Neoplasms	MESH:D011471
43	Seizures	MESH:D012640
43	Tremor	MESH:D014202
2532	Malaria	MESH:D008288
57007	Arthritis, Rheumatoid	MESH:D001172
57007	Carcinoma	MESH:D002277
57007	Colorectal Neoplasms	MESH:D015179
57007	Kidney Diseases	MESH:D007674
57007	Liver Cirrhosis, Experimental	MESH:D008106
57007	Neoplasm Metastasis	MESH:D009362
51554	Abortion, Spontaneous	MESH:D000022
47	Carcinoma, Hepatocellular	MESH:D006528
47	Heart Failure	MESH:D006333
47	Obesity	MESH:D009765
48	Neoplasm Invasiveness	MESH:D009361
48	Osteoarthritis	MESH:D010003
50	Carcinoma, Hepatocellular	MESH:D006528
50	Respiratory Distress Syndrome, Adult	MESH:D012128
641371	Diabetes Mellitus, Experimental	MESH:D003921
641371	Hepatomegaly	MESH:D006529
641371	Liver Neoplasms	MESH:D008113
10965	Myocardial Ischemia	MESH:D017202
641372	Schizophrenia	MESH:D012559
23597	Liver Cirrhosis, Experimental	MESH:D008106
51	Carcinoma, Hepatocellular	MESH:D006528
51	Diabetes Mellitus, Experimental	MESH:D003921
51	Peroxisomal ACYL-COA oxidase deficiency	MESH:C536662
8309	Liver Cirrhosis, Experimental	MESH:D008106
55289	Leukemia, Lymphocytic, Chronic, B-Cell	MESH:D015451
54	Hyperparathyroidism, Secondary	MESH:D006962
54	Liver Cirrhosis, Experimental	MESH:D008106
54	Obesity	MESH:D009765
54	Spondyloenchondrodysplasia	MESH:C535782
55	Arthritis, Juvenile	MESH:D001171
84519	Arthritis, Juvenile	MESH:D001171
84519	Prostatic Neoplasms	MESH:D011471
197322	Malonic aciduria	MESH:C535702
197322	Methylmalonic acidemia	MESH:C537358
2180	Arthritis, Experimental	MESH:D001169
2180	Carcinoma	MESH:D002277
2180	Diabetes Mellitus, Experimental	MESH:D003921
2180	Liver Cirrhosis, Experimental	MESH:D008106
2180	Mammary Neoplasms, Animal	MESH:D015674
2180	Mammary Neoplasms, Experimental	MESH:D008325
2180	Obesity	MESH:D009765
2182	Arthritis, Experimental	MESH:D001169
2182	Carcinoma, Hepatocellular	MESH:D006528
2182	Depressive Disorder	MESH:D003866
2182	Erythema	MESH:D004890
2182	Mental Retardation, X-Linked 63	MESH:C564522
2182	Prostatic Neoplasms	MESH:D011471
51703	Arthritis, Experimental	MESH:D001169
23305	Amphetamine-Related Disorders	MESH:D019969
116285	Lung Neoplasms	MESH:D008175
6296	Prostatic Neoplasms	MESH:D011471
58	Hypertrophy, Left Ventricular	MESH:D017379
58	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION	OMIM:255310
58	Nemaline myopathy 3	MESH:C538350
59	Aortic Aneurysm, Familial Thoracic 6	MESH:C567085
59	Aortic Aneurysm, Thoracic	MESH:D017545
59	Breast Neoplasms	MESH:D001943
59	Colonic Neoplasms	MESH:D003110
59	Copper-Overload Cirrhosis	MESH:C566858
59	Endometriosis	MESH:D004715
59	Glomerulosclerosis, Focal Segmental	MESH:D005923
59	Hepatitis, Chronic	MESH:D006521
59	Ischemia	MESH:D007511
59	Kidney Diseases	MESH:D007674
59	Liver Cirrhosis	MESH:D008103
59	Liver Cirrhosis, Experimental	MESH:D008106
59	Liver Diseases	MESH:D008107
59	Myocardial Infarction	MESH:D009203
59	Nephrogenic Fibrosing Dermopathy	MESH:D054989
59	Scleroderma, Systemic	MESH:D012595
60	Anoxia	MESH:D000860
60	Carcinoma	MESH:D002277
60	Carcinoma, Hepatocellular	MESH:D006528
60	Coloboma	MESH:D003103
60	Craniofacial Abnormalities	MESH:D019465
60	Dysostoses	MESH:D004413
60	Dystonia	MESH:D004421
60	Esophageal Neoplasms	MESH:D004938
60	Hearing Loss, Sensorineural	MESH:D006319
60	Juvenile-onset dystonia	MESH:C537704
60	Lung Neoplasms	MESH:D008175
60	Mammary Neoplasms, Animal	MESH:D015674
60	Mammary Neoplasms, Experimental	MESH:D008325
60	Myocardial Ischemia	MESH:D017202
60	Neoplasm Invasiveness	MESH:D009361
60	Nervous System Malformations	MESH:D009421
60	Osteoarthritis	MESH:D010003
70	Atrial Septal Defect 5	MESH:C567561
70	Cardiomyopathy, Dilated	MESH:D002311
70	Cardiomyopathy, Familial Hypertrophic, 11	MESH:C567419
70	Precancerous Conditions	MESH:D011230
70	Refractive Errors	MESH:D012030
70	Stomach Neoplasms	MESH:D013274
71	Acute Coronary Syndrome	MESH:D054058
71	Carcinoma	MESH:D002277
71	Cell Transformation, Neoplastic	MESH:D002471
71	Coloboma	MESH:D003103
71	Craniofacial Abnormalities	MESH:D019465
71	Deafness, Autosomal Dominant 20	MESH:C565754
71	Mammary Neoplasms, Animal	MESH:D015674
71	Mammary Neoplasms, Experimental	MESH:D008325
71	Nervous System Malformations	MESH:D009421
71	Osteoporosis	MESH:D010024
72	Colonic Neoplasms	MESH:D003110
72	Megacystis microcolon intestinal hypoperistalsis syndrome	MESH:C536138
72	Visceral Myopathy, Familial	MESH:C562574
284382	Dermatitis, Atopic	MESH:D003876
87	Liver Cirrhosis, Experimental	MESH:D008106
88	Cardiomyopathy, Dilated, 1AA	MESH:C567407
81	Carcinoma	MESH:D002277
81	Glomerulosclerosis, Focal Segmental	MESH:D005923
81	Mammary Neoplasms, Animal	MESH:D015674
81	Mammary Neoplasms, Experimental	MESH:D008325
140625	Keloid	MESH:D007627
90	Acute Lung Injury	MESH:D055371
90	Astrocytoma	MESH:D001254
90	Breast Neoplasms	MESH:D001943
90	Glioma	MESH:D005910
90	Myositis Ossificans	MESH:D009221
92	Microsatellite Instability	MESH:D053842
93	Heterotaxy Syndrome	MESH:D059446
93	Situs Inversus	MESH:D012857
94	Hypertension, Pulmonary	MESH:D006976
94	Osler-rendu-weber syndrome 2	MESH:C537139
94	Telangiectasia, Hereditary Hemorrhagic	MESH:D013683
94	Vascular Remodeling	MESH:D066253
95	Aminoacylase 1 deficiency	MESH:C538246
95	Carcinoma, Renal Cell	MESH:D002292
95	Precancerous Conditions	MESH:D011230
98	HEARING LOSS, CISPLATIN-INDUCED, SUSCEPTIBILITY TO	OMIM:613290
100	Autistic Disorder	MESH:D001321
100	Hyperemia	MESH:D006940
100	Liver Cirrhosis, Experimental	MESH:D008106
100	Lung Neoplasms	MESH:D008175
100	Severe combined immunodeficiency due to adenosine deaminase deficiency	MESH:C531816
100	Spinal Cord Diseases	MESH:D013118
102	Breast Neoplasms	MESH:D001943
6868	Blister	MESH:D001768
6868	Colitis	MESH:D003092
6868	Liver Cirrhosis, Experimental	MESH:D008106
13525	Prostatic Neoplasms	MESH:D011471
10863	Lung Neoplasms	MESH:D008175
80332	Bronchial Hyperreactivity	MESH:D016535
1587	Hepatomegaly	MESH:D006529
101	Drug-Induced Liver Injury	MESH:D056486
8754	CONE-ROD DYSTROPHY 9	OMIM:612775
8754	Prostatic Neoplasms	MESH:D011471
9510	Breast Neoplasms	MESH:D001943
9510	Carcinoma, Hepatocellular	MESH:D006528
9510	Carcinoma, Non-Small-Cell Lung	MESH:D002289
9510	Neoplasm Invasiveness	MESH:D009361
81794	Weill-Marchesani Syndrome	MESH:D056846
11093	Purpura, Thrombocytopenic, Idiopathic	MESH:D016553
11093	Purpura, Thrombotic Thrombocytopenic	MESH:D011697
11093	Thrombotic Microangiopathies	MESH:D057049
170691	Liver Neoplasms	MESH:D008113
170691	Weill-Marchesani-Like Syndrome	MESH:C567710
9509	Ehlers-Danlos Syndrome, Type VII, Autosomal Recessive	MESH:C567527
9509	Mesothelioma, Malignant	MESH:C562839
80070	Melanoma	MESH:D008545
9508	Schizophrenia	MESH:D012559
11096	Hepatomegaly	MESH:D006529
11173	Coronary Artery Disease	MESH:D003324
11173	Polycystic Ovary Syndrome	MESH:D011085
56999	Diabetes Mellitus, Type 2	MESH:D003924
9719	Acromicric dysplasia	MESH:C535662
9719	Contracture	MESH:D003286
9719	Facies	MESH:D019066
9719	Growth Disorders	MESH:D006130
9719	Hand Deformities, Congenital	MESH:D006228
9719	Heart Valve Diseases	MESH:D006349
9719	Hepatomegaly	MESH:D006529
9719	Metabolism, Inborn Errors	MESH:D008661
9719	Osteochondrodysplasias	MESH:D010009
54507	ECTOPIA LENTIS 2, ISOLATED, AUTOSOMAL RECESSIVE	OMIM:225100
103	Aicardi-Goutieres syndrome	MESH:C535607
103	Breast Neoplasms	MESH:D001943
103	Dyschromatosis symmetrica hereditaria 1	MESH:C535729
104	Polycystic Ovary Syndrome	MESH:D011085
105	Substance-Related Disorders	MESH:D019966
107	Deafness, Autosomal Recessive 44	MESH:C565716
107	Hyperkinesis	MESH:D006948
107	Small Cell Lung Carcinoma	MESH:D055752
107	Substance Withdrawal Syndrome	MESH:D013375
